url,address,location,price,detail1,detail2,page
"https://www.loopnet.com/Listing/928-930-Ravenscourt-Ave-Campbell-CA/39678251/","928-930 Ravenscourt Ave","Campbell, CA 95008","$2,900,000","5.83% Cap Rate","8 Unit Apartment Building","2"
"https://www.loopnet.com/Listing/3535-Wawona-St-San-Francisco-CA/39677800/","3535 Wawona St","San Francisco, CA 94116","$18,000,000","16 Unit Apartment Building","117,000 SF","2"
"https://www.loopnet.com/Listing/561-Minna-St-San-Francisco-CA/39664414/","561 Minna St","San Francisco, CA 94103","$1,980,000","8.91% Cap Rate","4 Unit Apartment Building","2"
"https://www.loopnet.com/Listing/6504-Bancroft-Ave-Oakland-CA/39663225/","6504 Bancroft Ave","Oakland, CA 94605","$698,000","6.20% Cap Rate","2 Unit Apartment Building","2"
"https://www.loopnet.com/Listing/4527-Bancroft-Ave-Oakland-CA/39646924/","4527 Bancroft Ave","Oakland, CA 94601","$3,025,000","7.37% Cap Rate","18 Unit Apartment Building","2"
"https://www.loopnet.com/Listing/4111-Beresford-St-San-Mateo-CA/39646902/","4111 Beresford St","San Mateo, CA 94403","$2,599,000","6 Unit Apartment Building","7,505 SF","2"
"https://www.loopnet.com/Listing/369-Palm-Ave-Oakland-CA/39646361/","369 Palm Ave","Oakland, CA 94610","$5,140,000","6.00% Cap Rate","24 Unit Apartment Building","2"
"https://www.loopnet.com/Listing/2001-Parrott-Dr-San-Mateo-CA/39645527/","2001 Parrott Dr","San Mateo, CA 94402","$7,088,000","3.28% Cap Rate","10 Unit Apartment Building","2"
"https://www.loopnet.com/Listing/8124-Greenly-Dr-Oakland-CA/39632372/","8124 Greenly Dr","Oakland, CA 94605","$1,099,000","5.26% Cap Rate","2 Unit Apartment Building","2"
"https://www.loopnet.com/Listing/65-Thornton-St-San-Leandro-CA/39631444/","65 Thornton St","San Leandro, CA 94577","$7,250,000","5.79% Cap Rate","29 Unit Apartment Building","2"
