Listing URL,Thumbnail URL,Broker Logo URL,Address,Headline,Location,Price,Cap Rate,Building Category,Square Footage
https://www.loopnet.com/Listing/170-King-St-San-Francisco-CA/36519338/,https://images1.loopnet.com/i2/e02n7mT7SdI5nFte5Pu4QbH32gc6HlHiLmto4Em7YR4/115/retail-property-for-sale-170-king-st-san-francisco-ca-94107.jpg,https://images1.loopnet.com/i2/omd-c8PRl8RwFzUutW7SBc0BRTYvpuS7wyskyRAxQ3w/105/image.png,170 King St,170 Off Third,"San Francisco, CA 94107","$1,250,000",,1 Unit Available,"1,494 SF"
https://www.loopnet.com/Listing/1827-Clement-St-San-Francisco-CA/36517440/,https://images1.loopnet.com/i2/0YfjR_zTfRGLFmJ1jVt9-fZRj11dNR3g5uIc434miDI/115/multifamily-property-for-sale-1827-clement-st-san-francisco-ca-94121.jpg,https://images1.loopnet.com/i2/fIMPfPVF5fT8-p3Zk9_IiTFIHGq8ro7mQVCLif8QpJA/105/image.jpg,1827 Clement St,,"San Francisco, CA 94121","$1,649,500",4.00% Cap Rate,4 Unit Apartment Building,
https://www.loopnet.com/Listing/1019-E-33rd-St-Oakland-CA/36511310/,https://images1.loopnet.com/i2/PLJbvx4jGP9teVNNmdfW4dfgIhX3SsySMb3S1bQruhs/115/multifamily-property-for-sale-1019-e-33rd-st-oakland-ca-94610.jpg,https://images1.loopnet.com/i2/3SXrhUpBD7eCmG7IEZuaqgMonoZ4IQzvQANH_VN50jc/105/image.jpg,1019 E 33rd St,,"Oakland, CA 94610","$1,100,000",,4 Unit Apartment Building,"2,224 SF"
https://www.loopnet.com/Listing/1155-Pine-St-San-Francisco-CA/36506905/,https://images1.loopnet.com/i2/IuQdj5P83VV11CfQsEy-hUloWfykOYlovPbbqy19ewY/115/office-property-for-sale-1155-pine-st-san-francisco-ca-94109.jpg,https://images1.loopnet.com/i2/sAMMheuJ_XoEfHACHo6QkhhHHNIysdRQqDdcoenu7zc/105/image.png,1155 Pine St,,"San Francisco, CA 94109","$895,000",,1 Unit Available,"2,627 SF"
https://www.loopnet.com/Listing/2002-Paradise-Dr-Tiburon-CA/36504442/,https://images1.loopnet.com/i2/PYAbQvYHpTV91MeK0caWziAkUtiB8JHn6mr5B97uxbU/115/multifamily-property-for-sale-2002-paradise-dr-tiburon-ca-94920.jpg,https://images1.loopnet.com/i2/5yTbgcLhsnnByY_OAAn2DygZwQLNGN3vPLx_ln2g3A8/105/image.jpg,2002 Paradise Dr,Paradise Point,"Tiburon, CA 94920","$7,700,000",2.50% Cap Rate,3 Unit Apartment Building,
https://www.loopnet.com/Listing/432-Richmond-Dr-Millbrae-CA/36433158/,https://images1.loopnet.com/i2/PLx41MJnmVMg9sTdkopzVw_7jjzl-FIG3ESzlfcM6PI/115/multifamily-property-for-sale-432-richmond-dr-millbrae-ca-94030.jpg,https://images1.loopnet.com/i2/omd-c8PRl8RwFzUutW7SBc0BRTYvpuS7wyskyRAxQ3w/105/image.png,432 Richmond Dr,,"Millbrae, CA 94030","$2,688,000",3.03% Cap Rate,6 Unit Apartment Building,
https://www.loopnet.com/Listing/19-37-Washington-St-Bay-Bay-Point-CA/36398843/,https://images1.loopnet.com/i2/ZoHduJi1Lj4nvyTgEA7jPt7mGurWcQ_Lz0BksIDA1aw/115/multifamily-property-for-sale-19-37-washington-st-bay-bay-point-ca-94565.jpg,https://images1.loopnet.com/i2/mxgsmfug4nL6xrvlGKh81vCqEraIfSsgQHp9cj_Ferc/105/image.jpg,"19-37 Washington St, Bay",,"Bay Point, CA 94565","$2,250,000",6.32% Cap Rate,12 Unit Apartment Building,
https://www.loopnet.com/Listing/820-S-St-Sacramento-CA/36377998/,https://images1.loopnet.com/i2/klhImF5EVa9ZSzbRq94SmzKToxridj_0AiW78RuIyU8/115/multifamily-property-for-sale-820-s-st-sacramento-ca-95811.jpg,https://images1.loopnet.com/i2/SUIFVy9UjCEIqbA0qQQHYWxLdsv2gI_yenIPxQ_l398/105/image.jpg,820 S St,8th & S,"Sacramento, CA 95811","$20,000,000",5.14% Cap Rate,72 Unit Apartment Building,
https://www.loopnet.com/Listing/400-402-21st-St-Sacramento-CA/36361091/,https://images1.loopnet.com/i2/9ha1UtzXkdI2xolTYVlR6stQvJ40ej1q2enWurgKhjE/115/multifamily-property-for-sale-400-402-21st-st-sacramento-ca-95811.jpg,https://images1.loopnet.com/i2/AkDe-FU_dZ3WmFkhzaoPLPZGk-aIjquhAUOb1fu5Irk/105/image.png,400-402 21st St,3 Unit Apartment Building Midtown,"Sacramento, CA 95811","$995,000",5.00% Cap Rate,3 Unit Apartment Building,
https://www.loopnet.com/Listing/3173-21st-St-San-Francisco-CA/36356008/,https://images1.loopnet.com/i2/RJALkIfkNyZetXDmR1cFQtELpXTk12Or92o_b9oNMwg/115/multifamily-property-for-sale-3173-21st-st-san-francisco-ca-94110.jpg,https://images1.loopnet.com/i2/-bMCrjZutg9ECt5LeVyu5CFKneNjgynLiZXKYugKbEA/105/image.jpg,3173 21st St,4-Unit Mixed-Use + ADU | Prime Mission,"San Francisco, CA 94110","$1,590,000",6.01% Cap Rate,4 Unit Apartment Building,
