"placard-pseudo href","company-logo src","image-hide src","header-col","subtitle-beta","subtitle-beta href","data-points-2c","data-points-2c 2","data-points-2c 3","subtitle-alpha","subtitle-alpha href"
"https://www.loopnet.com/Listing/1550-Steiner-St-San-Francisco-CA/30692576/","https://images1.loopnet.com/i2/X8KdwiN--mKqeXeDEwHPXYkgf-u4kMt8qnpMDSrLGrw/105/image.jpg","https://images1.loopnet.com/i2/sFfRGk1rgyrlj8E2YFRdGOGFYw3zG8FdsRCdaUDcdPo/115/retail-property-for-sale-1550-steiner-st-san-francisco-ca-94115.jpg","1550 Steiner St","San Francisco, CA 94115","https://www.loopnet.com/Listing/1550-Steiner-St-San-Francisco-CA/30692576/","$4,900,000","8,868 SF Retail Building","Built in 1966","",""
"https://www.loopnet.com/Listing/123-Kissling-St-San-Francisco-CA/30135149/","https://images1.loopnet.com/i2/-Veb2r12WSUv2uqA5jn6WcSCYpGJuThJHq0Ay0SlSXQ/105/image.jpg","https://images1.loopnet.com/i2/3sANGrvE0iwEdazk8gbWEL4eske-lq-mDNCZXKQZj9g/115/flex-property-for-sale-123-kissling-st-san-francisco-ca-94103.jpg","123 Kissling St","San Francisco, CA 94103","https://www.loopnet.com/Listing/123-Kissling-St-San-Francisco-CA/30135149/","$2,600,000","1.80% Cap Rate","6,486 SF Flex Building","123-133 Kissling St","https://www.loopnet.com/Listing/123-Kissling-St-San-Francisco-CA/30135149/"
"https://www.loopnet.com/Listing/1355-Fitzgerald-Ave-San-Francisco-CA/30044752/","https://images1.loopnet.com/i2/UH-R_rbKCpA0EV9Qv-JLvM0dv5IWyUzf-dK0C4wV1BE/105/image.jpg","https://images1.loopnet.com/i2/hR2Z_S3KYjMCfi0psVBrdfE9mrAWNSPUp6C2ghWXL0o/115/industrial-property-for-sale-1355-fitzgerald-ave-san-francisco-ca-94124.jpg","1355 Fitzgerald Ave","San Francisco, CA 94124","https://www.loopnet.com/Listing/1355-Fitzgerald-Ave-San-Francisco-CA/30044752/","$3,000,000","8,000 SF Industrial Building","Built in 1950","",""
"https://www.loopnet.com/Listing/1467-Pine-St-San-Francisco-CA/29859710/","https://images1.loopnet.com/i2/f1m-boJ1biyKMU1vliJdORVUnEN_CtpNOOFRLcsf6Tk/105/image.jpg","https://images1.loopnet.com/i2/afyujowpUjN8vUiw9ta7pu2126ZrBNmG2IQnBsulHas/115/retail-property-for-sale-1467-pine-st-san-francisco-ca-94109.jpg","1467 Pine St","San Francisco, CA 94109","https://www.loopnet.com/Listing/1467-Pine-St-San-Francisco-CA/29859710/","$1,799,000","5,000 SF Retail Building","Built in 1910","",""
"https://www.loopnet.com/Listing/1575-Fairfax-Ave-San-Francisco-CA/29442924/","https://images1.loopnet.com/i2/QdnroGcWSpYGEOUkwcotd5RILnO2LJBm1co8w10vyPI/105/image.png","https://images1.loopnet.com/i2/IF8o5JerzMrNsd2n1oSYWPVxm78kF4DcD0MBNNe_Y_E/115/land-property-for-sale-1575-fairfax-ave-san-francisco-ca-94124.jpg","1575 Fairfax Ave","San Francisco, CA 94124","https://www.loopnet.com/Listing/1575-Fairfax-Ave-San-Francisco-CA/29442924/","$525,000","1 Commercial Lot","0.06 AC Lot","",""
"https://www.loopnet.com/Listing/1545-1555-Pacific-Ave-San-Francisco-CA/29410197/","https://images1.loopnet.com/i2/s76Hrz5tslw_wvn7AmJmUcLOU_COY_0TXQ4NWVpvRh0/105/image.jpg","https://images1.loopnet.com/i2/exKpyJVRQA6yW1ymxCI6l8QsrYcYyJbZCACWbYoey3I/115/retail-property-for-sale-1545-1555-pacific-ave-san-francisco-ca-94109.jpg","1545-1555 Pacific Ave","San Francisco, CA 94109","https://www.loopnet.com/Listing/1545-1555-Pacific-Ave-San-Francisco-CA/29410197/","$5,400,000","13,611 SF Retail Building","Built in 1937","",""
"https://www.loopnet.com/Listing/122-9th-St-San-Francisco-CA/29122016/","https://images1.loopnet.com/i2/hJqLKpQvAk6luNHZN9WGUj54WxiG614N-yJEUh8b8PI/105/image.jpg","https://images1.loopnet.com/i2/J2DkYvgSYsd_EZ9NUnnwiMW9dhEt3n7_yfwKjmp9j_Q/115/office-property-for-sale-122-9th-st-san-francisco-ca-94103.jpg","122 9th St","San Francisco, CA 94103","https://www.loopnet.com/Listing/122-9th-St-San-Francisco-CA/29122016/","$1,950,000","2,890 SF Office Building","Built in 1924","",""
"https://www.loopnet.com/Listing/16-Virginia-Ave-San-Francisco-CA/28999885/","https://images1.loopnet.com/i2/L8Nd-ddKgJIRoYislnG21P2o126HeNiNvKj54Rwa9II/105/image.jpg","https://images1.loopnet.com/i2/l8SW7FjYGR3E8uRQ2h_3ZAQt2IO4pudEgf4HL_LmRjw/115/multifamily-property-for-sale-16-virginia-ave-san-francisco-ca-94110.jpg","16 Virginia Ave","San Francisco, CA 94110","https://www.loopnet.com/Listing/16-Virginia-Ave-San-Francisco-CA/28999885/","$1,895,000","4.20% Cap Rate","3 Unit Apartment Building","",""
"https://www.loopnet.com/Listing/1251-Thomas-Ave-San-Francisco-CA/28838535/","https://images1.loopnet.com/i2/wMHiln1Nr4WCAAMRQWwxB5pBcEmtRYd-rhFznm8s1PQ/105/image.jpg","https://images1.loopnet.com/i2/f6pX-kGKpFCjunT2C2D44f5h-GhGJHYZL-wmOeaY5Go/115/land-property-for-sale-1251-thomas-ave-san-francisco-ca-94124.jpg","1251 Thomas Ave","San Francisco, CA 94124","https://www.loopnet.com/Listing/1251-Thomas-Ave-San-Francisco-CA/28838535/","$2,500,000","1 Industrial Lot","0.22 AC Lot","",""
"https://www.loopnet.com/Listing/165-Jefferson-St-San-Francisco-CA/28815563/","https://images1.loopnet.com/i2/QJIjx1zh5DIup3ZZZQVi9_wgzi4cXJmlyDZkaK65QaA/105/image.jpg","https://images1.loopnet.com/i2/iuwjrcmw3KWqgRYOn1-bIi4BpJcWlQvePZwxNGwPvm0/115/retail-property-for-sale-165-jefferson-st-san-francisco-ca-94133.jpg","165 Jefferson St","San Francisco, CA 94133","https://www.loopnet.com/Listing/165-Jefferson-St-San-Francisco-CA/28815563/","$5,088,000","6,776 SF Retail Building","Built in 1968","San Francisco Fisherman's Wharf Retail","https://www.loopnet.com/Listing/165-Jefferson-St-San-Francisco-CA/28815563/"
